Genome ID,Domain,Phylum,Class,Order,Family,Genus,Species
TOBG_ARS-91,Archaea,Euryarcheoata,null,null,novelFamily_F,null,null
TOBG_ARS-92,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,null,null
TOBG_ARS-93,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,null,null
TOBG_CPC-69,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,null,null
TOBG_ARS-98,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,novelGenus_F,null
TOBG_CPC-89,Archaea,Euryarcheoata,null,null,novelFamily_H,null,null
TOBG_CPC-82,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,null,Roseibacillus,null
TOBG_CPC-81,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,null
TOBG_CPC-80,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,idiomarina,null
TOBG_CPC-86,Bacteria,Planctomycetes,Phycisphaerae,novelOrder_D,FS140-16B-02marinegroup,null,null
TOBG_MED-174,Bacteria,Verrucomicrobia,Opitutae,novelOrder_B,null,null,null
TOBG_SP-238,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,novel_genusE2,null
TOBG_NP-1171,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_D,null
TOBG_NAT-225,Bacteria,Proteobacteria,Gammaproteobacteria,novel_order_E1,null,null,null
TOBG_NAT-224,Bacteria,Marinimicrobia,null,null,null,null,null
TOBG_NAT-227,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,novelFamily_F,null,null
TOBG_NAT-226,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,null,null,null
TOBG_NAT-221,Bacteria,Proteobacteria,Nitrospinae,Nitrospinales,Nitrospinaceae,Nitrospina,null
TOBG_NAT-220,Bacteria,Marinimicrobia,null,null,null,null,null
TOBG_NAT-222,Bacteria,Chloroflexi,novelClass_F,null,null,null,null
TOBG_NAT-229,Archaea,Thaumarchaeota,null,null,null,null,null
TOBG_NAT-228,Bacteria,Chloroflexi,SAR202-2,novelOrder_B,null,null,null
TOBG_EAC-26,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,novel_genusE1,null
TOBG_EAC-27,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,novelGenus_G,null
TOBG_EAC-24,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_A,null
TOBG_EAC-25,Bacteria,Marinimicrobia,null,null,null,null,null
TOBG_EAC-22,Archaea,Euryarcheoata,null,null,null,null,null
TOBG_EAC-23,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Crocinitomicaceae,null,null
TOBG_EAC-20,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Methylophaga,null
TOBG_EAC-29,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,novel_familyE2,null,null
TOBG_SP-114,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,null,Roseibacillus,null
TOBG_MED-770,Archaea,Euryarcheoata,null,null,novelFamily_I,null,null
TOBG_MED-771,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,novelGenus_E,null
TOBG_MED-773,Bacteria,Actinobacteria,novelClass_A,null,null,null,null
TOBG_MED-774,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,novelGenus_F,null
TOBG_MED-775,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324cluster,null,null,null
TOBG_MED-776,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,null,null,null
TOBG_MED-777,Archaea,Euryarcheoata,null,null,novelFamily_E,null,null
TOBG_MED-778,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,novel_genusE4,null
TOBG_RS-820,Bacteria,Chloroflexi,novelClass_E,novelOrder_B,null,null,null
TOBG_RS-821,Bacteria,Gemmatimonadetes,ÂGemmatimonadetes,null,null,null,null
TOBG_RS-826,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,null,null
TOBG_RS-824,Bacteria,Chloroflexi,SAR202-2,novelOrder_B,null,null,null
TOBG_RS-825,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Pedosphaera,OPB35soil,null
TOBG_SAT-79,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Halobacteriovoraceae,null,null
TOBG_MED-609,Bacteria,Planctomycetes,Pla3,null,null,null,null
TOBG_MED-604,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,null,null
TOBG_MED-605,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,null
TOBG_MED-607,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,null,null,null
TOBG_MED-600,Bacteria,Marinimicrobia,null,null,null,null,null
TOBG_MED-601,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Rhodopirellula,null
TOBG_MED-602,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,null
TOBG_MED-603,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,null,null
TOBG_SAT-114,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Maribacter,null
TOBG_NAT-78,Archaea,Euryarcheoata,null,null,novelFamily_J,null,null
TOBG_NP-99,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Gimesia,null
TOBG_NP-95,Bacteria,proteobacteria,Gammaproteobacteria,Pseudomonadales,pseudomonadaceae,null,null
TOBG_NP-97,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,null,null
TOBG_NP-92,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Methylophaga,null
TOBG_NP-106,Archaea,Euryarcheoata,null,null,null,null,null
TOBG_NP-105,Bacteria,Gemmatimonadetes,ÂGemmatimonadetes,Gemmatimonadales,null,null,null
TOBG_NP-103,Bacteria,Planctomycetes,OM190,null,null,null,null
TOBG_NP-100,Bacteria,Proteobacteria,Gammaproteobacteria,Nevskiales,null,null,null
TOBG_NP-101,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,novel_familyE1,null,null
TOBG_NP-108,Archaea,Euryarcheoata,null,null,novelFamily_G,null,null
TOBG_NP-109,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Rubinisphaera,null
TOBG_ARS-1434,Bacteria,Planctomycetes,OM190,null,null,null,null
TOBG_SAT-2734,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,null,null,null
TOBG_SAT-2594,Bacteria,Proteobacteria,Alphaproteobacteria,unclassifiedAlphaproteobacteria,null,Micavibrio,null
TOBG_SAT-175,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Crocinitomicaceae,null,null
TOBG_NAT-682,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Planktomarina,temperata
TOBG_SP-246,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,novel_genusE9,null
TOBG_SP-247,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Winogradskyella,null
TOBG_SP-245,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Stappia,null
TOBG_SAT-2911,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,null,null
TOBG_SAT-2910,Bacteria,Proteobacteria,Gammaproteobacteria,novel_order_E1,null,null,null
TOBG_SP-240,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,novel_genusE6,null
TOBG_SP-241,Bacteria,Verrucomicrobia,Opitutae,novelOrder_B,null,null,null
TOBG_SP-248,Bacteria,Chloroflexi,SAR202-2,novelOrder_A,null,null,null
TOBG_SP-249,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,novelFamily_C,null,null
TOBG_MED-1116,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,null
TOBG_CPC-59,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,null,null
TOBG_SP-338,Archaea,Euryarcheoata,null,null,novelFamily_F,null,null
TOBG_SP-339,Archaea,Euryarcheoata,null,null,novelFamily_E,null,null
TOBG_SP-330,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,novelFamily_E,null,null
TOBG_SP-331,Bacteria,Proteobacteria,Gammaproteobacteria,null,null,null,null
TOBG_SP-337,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,null,null
TOBG_RS-590,Bacteria,Proteobacteria,Gammaproteobacteria,novelOrder_B,null,null,null
TOBG_CPC-1447,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,novel_familyE2,null,null
TOBG_IN-1077,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_A,null
TOBG_SAT-1289,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Crocinitomicaceae,null,null
TOBG_MED-947,Bacteria,Chloroflexi,SAR202-2,novelOrder_A,null,null,null
TOBG_IN-49,Bacteria,Marinimicrobia,null,null,null,null,null
TOBG_IN-48,Bacteria,Verrucomicrobia,Opitutae,novelOrder_B,null,null,null
TOBG_IN-46,Archaea,Euryarcheoata,null,null,novelFamily_D,null,null
TOBG_IN-44,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Marinovum,null
TOBG_IN-43,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,novelFamily_A,null,null
TOBG_IN-42,Bacteria,Verrucomicrobia,Opitutae,novelOrder_B,null,null,null
TOBG_IN-41,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,novel_genusE4,null
TOBG_IN-40,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,null,null
TOBG_SP-4045,Bacteria,Proteobacteria,Gammaproteobacteria,novelOrder_B,null,null,null
TOBG_SP-204,Bacteria,Acidobacteria,null,null,novelFamily_B,null,null
